Date,Ticker,Action,Price,Shares
2023-05-19,INFY.NS,BUY,1151.9580078125,536
2023-05-22,INFY.NS,SELL,1167.457275390625,536
2023-05-22,ADANIENT.NS,BUY,2007.2464599609375,155
2023-05-22,ADANIPORTS.NS,BUY,687.9202270507812,453
2023-05-23,ADANIENT.NS,SELL,2407.597412109375,155
2023-05-23,ADANIPORTS.NS,SELL,732.6068725585938,453
2023-05-23,INFY.NS,BUY,1191.531982421875,590
2023-06-16,INFY.NS,SELL,1196.207763671875,590
2023-06-16,ADANIENT.NS,BUY,2495.7763671875,281
2023-06-19,ADANIENT.NS,SELL,2500.56982421875,281
2023-06-20,ADANIENT.NS,BUY,2431.664306640625,288
2023-06-21,ADANIENT.NS,SELL,2423.375732421875,288
2023-06-22,ADANIENT.NS,BUY,2421.778076171875,287
2023-06-23,ADANIENT.NS,SELL,2389.02294921875,287
2023-06-23,TRENT.NS,SELL,1707.348388671875,342
2023-06-26,ADANIENT.NS,BUY,2207.022705078125,573
2023-06-27,ADANIENT.NS,SELL,2325.759765625,573
2023-06-28,ADANIENT.NS,BUY,2296.849365234375,289
2023-06-28,ADANIPORTS.NS,BUY,711.5924072265625,933
2023-06-30,ADANIENT.NS,SELL,2434.610107421875,289
2023-07-03,ADANIENT.NS,BUY,2401.705810546875,292
2023-07-04,ADANIENT.NS,SELL,2393.71630859375,292
2023-07-05,ADANIENT.NS,BUY,2387.724609375,291
2023-07-06,ADANIENT.NS,SELL,2395.86328125,291
2023-07-07,ADANIENT.NS,BUY,2392.8779296875,291
2023-07-10,ADANIENT.NS,SELL,2390.6796875,291
2023-07-10,ULTRACEMCO.NS,BUY,8210.9619140625,84
2023-07-11,ADANIENT.NS,BUY,2421.602294921875,1
2023-07-12,ADANIENT.NS,SELL,2427.746826171875,1
2023-07-13,ADANIENT.NS,BUY,2394.8759765625,1
2023-07-14,ADANIENT.NS,SELL,2372.8955078125,1
2023-07-17,ADANIENT.NS,BUY,2397.773193359375,1
2023-07-18,ADANIENT.NS,SELL,2412.860107421875,1
2023-07-18,INFY.NS,BUY,1332.837646484375,2
2023-07-24,INFY.NS,SELL,1246.3983154296875,2
2023-07-24,WIPRO.NS,SELL,190.02767944335938,759
2023-07-24,ADANIENT.NS,BUY,2427.8466796875,60
2023-07-25,ADANIENT.NS,SELL,2425.848388671875,60
2023-07-25,INFY.NS,BUY,1242.6805419921875,117
2023-07-27,INFY.NS,SELL,1262.7567138671875,117
2023-07-28,CIPLA.NS,SELL,1149.3233642578125,583
2023-07-28,ADANIENT.NS,BUY,2434.840576171875,167
2023-07-28,INFY.NS,BUY,1258.341796875,323
2023-07-31,ADANIENT.NS,SELL,2474.804931640625,167
2023-08-02,ADANIENT.NS,BUY,2490.790771484375,166
2023-08-03,ADANIENT.NS,SELL,2467.71142578125,166
2023-08-04,SHRIRAMFIN.NS,BUY,350.0970153808594,1166
2023-08-08,SHRIRAMFIN.NS,SELL,355.83282470703125,1166
2023-08-09,ADANIENT.NS,BUY,2486.145263671875,166
2023-08-10,ADANIENT.NS,SELL,2507.77587890625,166
2023-08-11,ADANIENT.NS,BUY,2547.79052734375,162
2023-08-14,ADANIENT.NS,SELL,2477.80224609375,162
2023-08-14,SHRIRAMFIN.NS,BUY,346.82623291015625,1159
2023-08-17,SHRIRAMFIN.NS,SELL,347.5935363769531,1159
2023-08-17,BRITANNIA.NS,BUY,4383.2568359375,91
2023-08-18,BRITANNIA.NS,SELL,4383.74365234375,91
2023-08-30,EICHERMOT.NS,SELL,3288.451904296875,8
2023-09-01,BAJAJ-AUTO.NS,SELL,4471.80224609375,49
2023-09-04,BAJAJ-AUTO.NS,BUY,4530.427734375,142
2023-09-06,TATASTEEL.NS,BUY,126.82743072509766,8
2023-09-07,TATASTEEL.NS,SELL,124.04949188232422,8
2023-09-08,SHRIRAMFIN.NS,BUY,366.4029235839844,2
2023-09-11,SHRIRAMFIN.NS,SELL,378.2581787109375,2
2023-09-13,SHRIRAMFIN.NS,BUY,364.8778076171875,3
2023-09-14,SHRIRAMFIN.NS,SELL,368.32122802734375,3
2023-09-26,NTPC.NS,BUY,224.1800994873047,4
2023-09-27,NTPC.NS,SELL,224.3203582763672,4
2023-09-28,NTPC.NS,BUY,224.0398406982422,4
2023-09-29,NTPC.NS,SELL,223.9930877685547,4
2023-10-26,WIPRO.NS,BUY,177.1658477783203,6
2023-12-01,BAJAJ-AUTO.NS,SELL,5852.89111328125,142
2023-12-06,ADANIPORTS.NS,SELL,1035.4976806640625,933
2023-12-06,ULTRACEMCO.NS,SELL,9216.3291015625,84
